hour,day,month,air_temperature,dew_temperature,sea_level_pressure,wind_speed
0,1,1,0.0,-0.5,0.1,-0.7
1,1,1,-0.2,0.0,-0.5,-0.9
2,1,1,-0.4,0.1,-0.7,-0.8
3,1,1,-0.6,0.3,-0.6,-0.6
4,1,1,-0.7,0.5,-0.4,-0.5
5,1,1,-0.9,0.4,-0.3,-0.3
6,1,1,-1.0,0.6,-0.1,-0.2
7,1,1,-1.2,0.8,-0.2,-0.1
8,1,1,-1.3,1.0,-0.1,0.0
9,1,1,-1.5,1.1,0.1,0.1
10,1,1,-1.6,1.2,0.2,0.2
11,1,1,-1.8,1.3,0.3,0.3
12,1,1,-1.9,1.4,0.4,0.4
13,1,1,-2.1,1.5,0.5,0.5
14,1,1,-2.2,1.6,0.6,0.6
15,1,1,-2.4,1.7,0.7,0.7
16,1,1,-2.5,1.8,0.8,0.8
17,1,1,-2.7,1.9,0.9,0.9
18,1,1,-2.8,2.0,1.0,1.0
19,1,1,-3.0,2.1,1.1,1.1
20,1,1,-3.1,2.2,1.2,1.2
21,1,1,-3.3,2.3,1.3,1.3
22,1,1,-3.4,2.4,1.4,1.4
23,1,1,-3.6,2.5,1.5,1.5
0,2,1,-0.1,0.0,0.0,-0.6
1,2,1,-0.3,0.1,-0.2,-0.7
2,2,1,-0.5,0.2,-0.4,-0.8
3,2,1,-0.7,0.4,-0.5,-0.9
4,2,1,-0.9,0.6,-0.6,-1.0
5,2,1,-1.0,0.7,-0.7,-1.2
6,2,1,-1.2,0.8,-0.8,-1.3
7,2,1,-1.4,1.0,-0.9,-1.4
8,2,1,-1.5,1.1,-1.0,-1.5
9,2,1,-1.7,1.2,-1.1,-1.6
10,2,1,-1.8,1.3,-1.2,-1.7
11,2,1,-2.0,1.4,-1.3,-1.8
12,2,1,-2.1,1.5,-1.4,-1.9
13,2,1,-2.3,1.6,-1.5,-2.0
14,2,1,-2.4,1.7,-1.6,-2.1
15,2,1,-2.6,1.8,-1.7,-2.2
16,2,1,-2.7,1.9,-1.8,-2.3
17,2,1,-2.9,2.0,-1.9,-2.4
18,2,1,-3.0,2.1,-2.0,-2.5
19,2,1,-3.2,2.2,-2.1,-2.6
20,2,1,-3.3,2.3,-2.2,-2.7
21,2,1,-3.5,2.4,-2.3,-2.8
22,2,1,-3.6,2.5,-2.4,-2.9
23,2,1,-3.8,2.6,-2.5,-3.0
